2018-12-31 01:26:42,b'RT @PINOYBAE: #HappyNewYear2019 !!! Andre Brouillette \xf0\x9f\x92\xa5\xf0\x9f\x8e\x89 https://t.co/IBAHs3FLLL'
2018-12-31 01:26:39,"b'RT @shinyleafusa: \xf0\x9f\x8e\x86 Boom! Boom! Boom! \xf0\x9f\x8e\x86 A bright and colorful firework for our Holiday Giveaway Series winners!\n\n\xf0\x9f\x93\x8d Winners, please LIKE, RT\xe2\x80\xa6'"
2018-12-31 01:26:37,"b""Hope your 2018 is winding down just the way you want it. \nHere's to a fabulous and creative 2019! #sideeyeforthewin\xe2\x80\xa6 https://t.co/uz7RdeMPV9"""
2018-12-31 01:26:34,b'RT @nathasya92: 364 of 365.\nits been a great year for us!\ni do hope 2018 is a great year for jongin and kyungsoo too \xf0\x9f\xa5\xb0\n\nso many memories fr\xe2\x80\xa6'
2018-12-31 01:26:27,b'#HappyNewYear2019  thank you Jesus \xe2\x9d\xa4\xef\xb8\x8f'
2018-12-31 01:26:15,b'RT @ColossalYouFilm: Thanks so much for your support #fansaroundtheworld\xf0\x9f\x91\x8b\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8c #colossalyouthfilm #HappyNewYear2019 \xf0\x9f\x92\xa5\xf0\x9f\x8e\x8a\xf0\x9f\x8e\x89 https://t.co/DBEyc3t\xe2\x80\xa6'
2018-12-31 01:26:12,"b""RT @purplemoerguin: EVERYDAY, GIRL'S DAY!\n#HappyNewYear2019 https://t.co/Ub7KUCRzYC"""
2018-12-31 01:25:54,b'RT @GeorgekurianINC: #HappyNewYear Everyone \xf0\x9f\x99\x8f #HappyNewYear2019 \n@RahulGandhi  @INCIndia @MahilaCongress @ProfCong @nsui @IYC @CongressSeva\xe2\x80\xa6'
2018-12-31 01:25:52,b'RT @johninphx: @Heywood98 @BobBrinson1 @SealeyGerald @BlueSea1964 @Tombstone1954 @kidgolferman @AngeleStar11 @STACEYDUBOIS4 @Caliicoder3 @B\xe2\x80\xa6'
2018-12-31 01:25:48,"b'RT @sandiegozoo: 2018 was filled with elephants, wallabies, cheetahs &amp; rhinos at @sdzsafaripark. \nMay 2019 continue to inspire us all to #E\xe2\x80\xa6'"
2018-12-31 01:25:40,b'RT @gautam_beena: #HappyNewYear2019 \nMy true Godfather Jagat Guru Sant Rampal Ji Maharaj His true knowledges awaring all societies and all\xe2\x80\xa6'
2018-12-31 01:25:32,b'Winning!!! MAGArats must be bursting with pride &amp; joy. #HappyNewYear2019 https://t.co/tMkptc80Lg'
2018-12-31 01:25:25,"b'Crush (tries to crack a joke): ""Aaj 11:59 PM pe bathroom mt jaana warna agle saal hi bahar nikloge"" \n\nMe:\xe2\x80\xa6 https://t.co/HfiFiSOXib'"
2018-12-31 01:25:23,b'RT @johninphx: @Heywood98 @BobBrinson1 @SealeyGerald @BlueSea1964 @Tombstone1954 @kidgolferman @AngeleStar11 @STACEYDUBOIS4 @Caliicoder3 @B\xe2\x80\xa6'
2018-12-31 01:25:23,b'RT @Thisfiendis138: If you use the term \xe2\x80\x9cbadonkadonk\xe2\x80\x9d never enter my life or get out of my life. Thank you. God Bless. #HappyNewYear2019'
2018-12-31 01:25:20,b'RT @PINOYBAE: #HappyNewYear2019 !!! Andre Brouillette \xf0\x9f\x92\xa5\xf0\x9f\x8e\x89 https://t.co/IBAHs3FLLL'
2018-12-31 01:25:17,"b""RT @saxopolis: #HappyNewYear2019 to yall friends.\nIt's been great having you through 2018\nLet our friendship grow stronger in 2019\nShout ou\xe2\x80\xa6"""
2018-12-31 01:25:13,b'#HappyNewYear2019 To You and Yours ! https://t.co/Lc6zA8pf3J'
2018-12-31 01:25:09,b'@hockeyguy33 He\xe2\x80\x99s a Philly fan now anyways \xf0\x9f\x98\x82 just kidding @TheCUTCH22 we still love you. Best of luck with the Phillies #HappyNewYear2019'
2018-12-31 01:25:01,"b'RT @SaraDGarland: I also bought anti-aging facial cream for the first time in 2018, but that wasn\xe2\x80\x99t worthy of the list. #HappyNewYear2019 #\xe2\x80\xa6'"
2018-12-31 01:25:00,b'Fireworks are an overrated and boring waste of public money that are bad for the environment and #NYE is the worst\xe2\x80\xa6 https://t.co/nA3k74WO9G'
2018-12-31 01:24:59,b'Happy New Year! @Jerica_Phillips @NickGunterWX and I celebrated a bit early this morning on @WMCActionNews5\xe2\x80\xa6 https://t.co/iKlnOrptAZ'
2018-12-31 01:24:59,b'@barb71 @DetJoeLocus Thank you for your beautiful prayers this evening Barb. I pray you are well and preparing for\xe2\x80\xa6 https://t.co/xkGQ8FXCAR'
2018-12-31 01:24:51,"b'RT @LunaLuvgood2017: If #HappyNewYear2019 finds you alone or feeling lonely\n\nRemember, it\xe2\x80\x99s ok and so are you \n\nI want you to know, I care\xe2\x80\xa6'"
2018-12-31 01:24:51,"b'@KeithUrban Saw you with the sword a moment ago, absolutely brilliant love you, God Bless You and your beautiful family #HappyNewYear2019'"
2018-12-31 01:24:49,b'RT @RunnymedeBeat: \xf0\x9f\x93\xa3Getting all set for your New Year\xe2\x80\x99s Eve celebrations?  Perhaps you\xe2\x80\x99re making arrangements for a first date?   Not to ca\xe2\x80\xa6'
2018-12-31 01:24:45,b'An oldie but a goodie Series By Honor Raconteur. Yes and you are welcome......#HappyNewYear2019 ... You will be in\xe2\x80\xa6 https://t.co/xHuemtaAvh'
2018-12-31 01:24:42,"b""RT @adamsconsulting: I'm going to be a Jedi in 2019. \xf0\x9f\x98\x8e\n#HappyNewYear\n#HappyNewYear2019 \n#HappyNewYearsEveEve\n#StarWars https://t.co/NoEWfYW\xe2\x80\xa6"""
2018-12-31 01:24:39,b'RT @Dipendr06822631: #HappyNewYear2019\nOn the eve of New Year we have to take an oath that we will never take intoxicants in our lives and\xe2\x80\xa6'
